id,forecastVolum
1,303
2,367
3,163
4,451
5,391
6,178
7,482
8,225
9,2842
10,398
11,762
12,208
13,312
14,351
15,706
16,404
17,306
18,278
19,665
20,102
21,340
22,283
23,352
24,409
25,251
26,380
27,731
28,463
29,1142
30,405
31,6820
32,938
33,1894
34,573
35,887
36,932
37,1664
38,791
39,781
40,1152
41,1442
42,291
43,430
44,702
45,134
46,299
47,261
48,426
49,461
50,157
51,405
52,182
53,1705
54,187
55,460
56,138
57,451
58,361
59,420
60,308
61,268
62,138
63,527
64,184
65,293
66,263
67,105
68,252
69,123
70,95
71,316
72,237
73,303
74,127
75,2868
76,331
77,899
78,297
79,362
80,473
81,1117
82,457
83,490
84,411
85,328
86,98
87,201
88,143
89,217
90,4111
91,637
92,108
93,1684
94,1967
95,3829
96,1989
97,1921
98,2156
99,2421
100,911
101,4445
102,4467
103,1690
104,1651
105,1668
106,587
107,1099
108,270
109,1918
110,518
111,342
112,624
113,498
114,104
115,1119
116,1326
117,1929
118,636
119,5116
120,696
121,1601
122,861
123,2473
124,2940
125,1035
126,1285
127,1464
128,344
129,365
130,626
131,627
132,465
133,1412
134,221
135,203
136,2010
137,395
138,463
139,1586
140,396
141,1377
142,176
143,1446
144,235
145,1106
146,991
147,1020
148,311
149,219
150,239
151,406
152,128
153,439
154,283
155,268
156,48
157,30
158,45
159,247
160,345
161,251
162,35
163,188
164,77
165,787
166,180
167,117
168,200
169,431
170,209
171,183
172,85
173,34
174,46
175,96
176,13
177,934
178,352
179,296
180,552
181,1022
182,983
183,1008
184,404
185,958
186,332
187,1461
188,918
189,699
190,1084
191,1049
192,1021
193,1141
194,493
195,282
196,433
197,372
198,150
199,649
200,360
201,363
202,167
203,1351
204,1687
205,2703
206,622
207,1059
208,706
209,3113
210,1456
211,1541
212,2408
213,1602
214,1048
215,1192
216,782
217,337
218,398
219,635
220,165
221,76
222,476
223,256
224,368
225,1524
226,906
227,2004
228,897
229,1147
230,874
231,1018
232,914
233,1574
234,2511
235,1739
236,1061
237,894
238,765
239,219
240,533
241,1235
242,146
243,58
244,477
245,393
246,61
247,830
248,623
249,1442
250,942
251,917
252,620
253,658
254,564
255,1672
256,1564
257,572
258,607
259,681
260,316
261,379
262,341
263,913
264,240
265,134
266,1406
267,798
268,82
269,1998
270,1443
271,3050
272,1167
273,1160
274,933
275,1671
276,987
277,2956
278,2867
279,985
280,1125
281,1223
282,686
283,421
284,539
285,1202
286,711
287,319
288,1396
289,1124
290,289
291,2451
292,2197
293,3886
294,1000
295,1961
296,954
297,3013
298,1360
299,2916
300,4946
301,1900
302,1763
303,2148
304,708
305,1004
306,847
307,1120
308,760
309,727
310,533
311,547
312,1153
313,838
314,948
315,1352
316,865
317,575
318,174
319,1642
320,327
321,1785
322,1194
323,754
324,364
325,498
326,319
327,224
328,435
329,717
330,84
331,67
332,987
333,656
334,203
335,2044
336,273
337,2045
338,780
339,1596
340,485
341,590
342,315
343,2379
344,1533
345,456
346,371
347,1170
348,306
349,869
350,103
351,581
352,1151
353,1861
354,968
355,445
356,341
357,1569
358,1493
359,2184
360,990
361,772
362,335
363,2575
364,982
365,2633
366,2972
367,1076
368,924
369,1166
370,656
371,402
372,607
373,970
374,218
375,268
376,568
377,642
378,73
379,1085
380,811
381,2791
382,1442
383,579
384,281
385,1245
386,409
387,2957
388,1893
389,436
390,215
391,386
392,241
393,649
394,256
395,874
396,528
397,358
398,438
399,620
400,1221
401,1483
402,768
403,2012
404,476
405,1006
406,295
407,1415
408,399
409,2107
410,1789
411,893
412,634
413,585
414,475
415,894
416,488
417,567
418,1002
419,453
420,363
421,147
422,197
423,633
424,603
425,699
426,94
427,638
428,151
429,1060
430,418
431,505
432,538
433,1016
434,536
435,608
436,354
437,178
438,251
439,227
440,151
441,362
442,449
443,442
444,315
445,1788
446,1136
447,1622
448,495
449,815
450,300
451,2075
452,519
453,2415
454,1994
455,1442
456,735
457,571
458,457
459,636
460,385
461,491
462,580
463,593
464,206
465,205
466,518
467,558
468,499
469,1298
470,196
471,522
472,140
473,1593
474,234
475,1236
476,904
477,1362
478,316
479,318
480,251
481,206
482,96
